scalar,2,3,-1,1,-1,-0.5,-1,-1,1,1,1,-2,,,,,,,,,,,,,rand scalar,1,scalar,200,,Base Ticket Price,60,
mean,,,, 19.91 , 24.41 , 0.23 , 4.11 ,, 32.95 , 26.87 , 20.77 , 86.12 ,,,,,,,,,,,,,,,mean passes sold,2000,,,,
std,,,, 19.01 , 23.31 , 0.43 , 2.66 ,, 19.03 , 20.07 , 21.49 , 21.34 ,,,,,,,,,,,,,,,,,,,,
Date,Promotion,Campaign,Catastrophe,Skiing Interest,Water Park Interest,PrecipitationIn, CloudCover, Events,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Competitive Pricing,,Promotion,Campaign,Catastrophe,Skiing Interest,Water Park Interest,PrecipitationIn, CloudCover, Events,Max TemperatureF,Competitive Pricing,,Score,Noise,Score+Noise,# of passes,,Promotion,Ticket Price Incl Promotion,Total Sales / Day
5/5/2013,0,1,0,7,0,0,1,0,46,42,37,100,,0,3,0,-0.68 , 1.05 , 0.26 , 1.17 , -   , 0.75 ,-1.30 ,, 4.25 ,0.0420537388, 4.30 ," 2,859 ",,0,60," 171,540 "
5/6/2013,0,0,0,7,0,0,1,0,50,46,41,100,,0,0,0,-0.68 , 1.05 , 0.26 , 1.17 , -   , 0.95 ,-1.30 ,, 1.45 ,0.8393309901, 2.29 ," 2,458 ",,0,60,`=AC6*AF6
5/7/2013,0,0,0,7,0,0,1,0,57,49,41,100,,0,0,0,-0.68 , 1.05 , 0.26 , 1.17 , -   , 1.10 ,-1.30 ,, 1.60 ,0.4270976733, 2.03 ," 2,406 ",,0,60," 144,360 "
5/8/2013,0,0,0,7,0,0.59,3,Fog-Rain,48,44,41,100,,0,0,0,-0.68 , 1.05 ,-0.42 , 0.42 ,-3.00 , 0.85 ,-1.30 ,,-3.08 ,0.768517107,-2.32 ," 1,537 ",,0,60," 92,220 "
5/9/2013,0,0,0,7,0,0.63,5,Fog-Rain,48,44,39,50,,0,0,0,-0.68 , 1.05 ,-0.47 ,-0.33 ,-3.00 , 0.85 , 3.38 ,, 0.80 ,0.6646993086, 1.47 ," 2,294 ",,0,60," 137,640 "
5/10/2013,0,1,0,7,0,0,7,Fog-Rain,50,44,39,100,,0,3,0,-0.68 , 1.05 , 0.26 ,-1.08 ,-3.00 , 0.85 ,-1.30 ,,-0.90 ,0.350287362,-0.55 ," 1,890 ",,0,60," 113,400 "
5/11/2013,0,1,0,7,0,1.82,0,Fog-Rain,44,42,39,100,,0,3,0,-0.68 , 1.05 ,-1.86 , 1.54 ,-3.00 , 0.75 ,-1.30 ,,-0.49 ,0.5626084839, 0.07 ," 2,015 ",,0,60," 120,900 "
5/12/2013,0,1,0,8,17,0.02,6,Fog-Rain-Snow,39,30,19,100,,0,3,0,-0.63 , 0.32 , 0.24 ,-0.71 ,-3.00 , 0.16 ,-1.30 ,,-1.92 ,0.4433481803,-1.48 ," 1,704 ",,0,60," 102,240 "
5/13/2013,0,0,0,8,17,0.01,8,Fog-Snow,23,18,14,100,,0,0,0,-0.63 , 0.32 , 0.25 ,-1.46 ,-2.00 ,-0.44 ,-1.30 ,,-5.26 ,0.4158657757,-4.84 ," 1,031 ",,0,60," 61,860 "
5/14/2013,0,0,0,8,17,0,4,Fog-Snow,26,20,15,100,,0,0,0,-0.63 , 0.32 , 0.26 , 0.04 ,-2.00 ,-0.34 ,-1.30 ,,-3.65 ,0.2566459004,-3.39 ," 1,322 ",,0,60," 79,320 "
5/15/2013,0,0,0,8,17,0.22,3,Fog-Rain-Hail,37,28,19,100,,0,0,0,-0.63 , 0.32 , 0.01 , 0.42 ,-3.00 , 0.06 ,-1.30 ,,-4.13 ,0.7097985188,-3.42 ," 1,316 ",,0,60," 78,960 "
5/16/2013,0,0,0,8,17,0,6,Fog,42,35,28,50,,0,0,0,-0.63 , 0.32 , 0.26 ,-0.71 ,-1.00 , 0.41 , 3.38 ,, 2.04 ,0.5738965364, 2.61 ," 2,522 ",,0,60," 151,320 "
5/17/2013,0,1,0,8,17,0.22,6,Fog-Snow,32,28,24,100,,0,3,0,-0.63 , 0.32 , 0.01 ,-0.71 ,-2.00 , 0.06 ,-1.30 ,,-1.25 ,0.9666639883,-0.29 ," 1,943 ",,0,60," 116,580 "
5/18/2013,0,1,0,8,17,0,5,0,41,36,30,100,,0,3,0,-0.63 , 0.32 , 0.26 ,-0.33 , -   , 0.46 ,-1.30 ,, 1.78 ,0.7307983204, 2.51 ," 2,501 ",,0,60," 150,060 "
